Age,AgeBin,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,IncomeBin,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Cluster
41,Middle Age,Yes,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,Average,8,Yes,11,3,1,0,8,0,1,6,4,0,5,Mid-career professional
49,Middle Age,No,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,Average,1,No,23,4,4,1,10,3,3,10,7,1,7,Mid-career professional
37,Young Adult,Yes,Travel_Rarely,Research & Development,2,2,Other,4,Male,2,1,Laboratory Technician,3,Single,2090,Low,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Early-career professional
33,Young Adult,No,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,Low,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Early-career professional
27,Young Adult,No,Travel_Rarely,Research & Development,2,1,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,Average,9,No,12,3,4,1,6,3,3,2,2,2,2,Early-career professional
32,Young Adult,No,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,Average,0,No,13,3,3,0,8,2,2,7,7,3,6,Early-career professional
59,Middle Age,No,Travel_Rarely,Research & Development,3,3,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,Low,4,Yes,20,4,1,3,12,3,2,1,0,0,0,Mid-career professional
30,Young Adult,No,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,Low,1,No,22,4,2,1,1,2,3,1,0,0,0,Early-career professional
38,Young Adult,No,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,Medium,0,No,21,4,2,0,10,2,3,9,7,1,8,Mid-career professional
36,Young Adult,No,Travel_Rarely,Research & Development,27,3,Medical,3,Male,3,2,Healthcare Representative,3,Married,5237,Average,6,No,13,3,2,2,17,3,2,7,7,7,7,Mid-career professional
35,Young Adult,No,Travel_Rarely,Research & Development,16,3,Medical,1,Male,4,1,Laboratory Technician,2,Married,2426,Low,0,No,13,3,3,1,6,5,3,5,4,0,3,Early-career professional
29,Young Adult,No,Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,4193,Average,0,Yes,12,3,4,0,10,3,3,9,5,0,8,Mid-career professional
31,Young Adult,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,Low,1,No,17,3,4,1,5,1,2,5,2,4,3,Early-career professional
34,Young Adult,No,Travel_Rarely,Research & Development,19,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,2661,Low,0,No,11,3,3,1,3,2,3,2,2,1,2,Early-career professional
28,Young Adult,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,Low,5,Yes,14,3,2,0,6,4,3,4,2,0,3,Early-career professional
29,Young Adult,No,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,Medium,1,No,11,3,3,1,10,1,3,10,9,8,8,Mid-career professional
