,Age,AgeBin,BusinessTravel,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,IncomeBin,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Yes,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
0,41,2,1,1,2,2,3,2,4,5993,1,8,11,3,1,0,8,0,1,6,4,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1,49,2,2,8,1,3,2,2,2,5130,1,1,23,4,4,1,10,3,3,10,7,1,7,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2,37,1,1,2,2,4,2,1,3,2090,0,6,15,3,2,0,7,3,3,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1
3,33,1,2,3,4,4,3,1,3,2909,0,1,11,3,3,0,8,3,3,8,7,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
4,27,1,1,2,1,1,3,1,2,3468,1,9,12,3,4,1,6,3,3,2,2,2,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
5,32,1,2,2,2,4,3,1,4,3068,1,0,13,3,3,0,8,2,2,7,7,3,6,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
6,59,2,1,3,3,3,4,1,1,2670,0,4,20,4,1,3,12,3,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
7,30,1,1,24,1,4,3,1,3,2693,0,1,22,4,2,1,1,2,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8,38,1,2,23,3,4,2,3,3,9526,2,0,21,4,2,0,10,2,3,9,7,1,8,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
9,36,1,1,27,3,3,3,2,3,5237,1,6,13,3,2,2,17,3,2,7,7,7,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
